"geneid","length"
"MAGEB3",6996
"KIAA0319L",9209
"SLC25A44",4818
"FAM71A",2928
"MORN2",9636
"GTF2E2",4072
"MIR1301",6009
"ASB5",6227
"BIRC7",5135
"LINC00923",2087
"MIR597",6872
"ZNF431",10773
"NAALADL2-AS3",4005
"FBXL19",2607
"CCDC13-AS1",1704
"LRRC42",20506
"PFAS",2643
"CTTNBP2",11132
"LINC00489",9351
"KLF4",3660
"LINC01741",8412
"DNAL1",9877
"MGAM2",3310
"CPEB3",7244
"CLEC11A",2663
"PLPP3",2853
"SETD7",597
"SNORA27",5628
"PAN3",8830
"SLC38A2",9029
"LINC02217",11064
"KRTAP5-AS1",6674
"MIR153-2",3908
"SCARNA13",6190
"NAP1L4",2424
"MIR124-2HG",5172
"MIR3648-1",5675
"EID2",1991
"PTPRQ",12058
"UHMK1",5656
"PLA2G2D",10816
"RPP38",5510
"NDUFA4",5090
"MIR93",5901
"CACNA2D1",9832
"EPM2A",12428
"ABCB11",12350
"PIAS3",7296
"MOCOS",9784
"LIPG",3052
"LGALS1",5206
"NDUFC2-KCTD14",6255
"SNORA70",4939
"PLEKHM1",5497
"PNPLA4",7114
"TMEM92-AS1",7885
"MIR5692C2",6622
"MIR620",14943
"FRMPD3",4628
"RFX3-AS1",7856
"FANCD2",5719
"STAM2",16827
"ELK1",5215
"RHBDF1",2862
"ACADS",7606
"RANGAP1",5548
"SDC4P",5793
"HUS1B",1118
"FAM230A",11298
"NIPBL",10268
"GPAT3",2110
"ZFY",2341
"THSD1",15740
"PLIN4",20023
"COPRS",10978
"DNAH1",7204
"MOV10",7898
"LRRC9",4151
"LINC00547",6040
"ZCCHC4",4847
"DEFA5",8567
"PRR34",9321
"ALKAL1",2760
"DKKL1",8099
"LINC01116",1791
"MIR572",6331
"CDIPT",4642
"OR2L2",7329
"CUL7",7225
"ZNF678",6542
"LOC101928837",2211
"ERO1A",44058
"TMEM169",6557
"ACYP1",17455
"OR13D1",2647
"CYP4Z2P",4173
"DENND6A-DT",5067
"KLHL1",12115
"NEURL2",11757
"PLXNA2",4350
"SALRNA2",5059
"IL31",5818
"ZFHX2",4249
"ARID3C",6057
"OR4L1",6317
"LINC01567",6032
"TIMELESS",17980
"ECI1",7594
"IL17REL",9653
"LOC284379",3768
"TMEM175",8955
"EPHA7",3586
"ASPG",9178
"THEM4",4736
"ZBED9",5155
"FOXD3-AS1",3422
"ANTXR2",3046
"DNASE1L1",9400
"PPP1R26",7850
"OSTN",3357
"PDXP",3453
"CDH23",10356
"NR1I2",10304
"GLYATL3",12558
"GDPD2",3010
"TLE1",5894
"MIR6859-3",8529
"PLEKHH3",10868
"FOXO3",2892
"GCNA",11284
"BIN1",5750
"SLC2A2",6734
"PES1",11033
"NOTCH4",1774
"AKR1D1",1781
"LOC101928298",2822
"SH2D4B",1297
"LINC02099",2431
"TSC22D3",20568
"POC5",2803
"CPLX4",13522
"CLYBL-AS2",13034
"IFRD2",7494
"AP1G1",3971
"LINC00853",3527
"EYS",4736
"DNAJB12",1612
"CLEC2D",2633
"GCK",8798
"GOLPH3L",11073
"SMG7",3716
"LINC01608",5322
"RIN1",8261
"ANKRD34C-AS1",6641
"RHOXF2",17720
"KLRC1",3926
"RBM15-AS1",5315
"PHIP",31374
"RBFOX2",10817
"OR3A2",8317
"MIR588",1867
"GORASP1",3024
"EGR2",3135
"SNORD115-31",7887
"VWA3A",6322
"LINC00708",6825
"CCDC183",3299
"ATG4B",4747
"PCDHA4",5877
"HAS2-AS1",3548
"ZNF706",6543
"POLR2L",10498
"CENPQ",6010
"AUTS2",2248
"SH2B3",10753
"PON1",9235
"CNOT3",20114
"OR2T8",6623
"FOXD2-AS1",3982
"CFI",6978
"LINC01898",3573
"DYNLL2",5462
"ACOT1",4544
"MIR4323",1436
"KRT16",6792
"CCR2",4634
"EXOC4",2359
"RAP1B",5753
"SLC1A6",6449
"TAPT1-AS1",11545
"MBOAT2",3038
"RPS19",6553
"POLN",3646
"HMX3",11274
"PAK4",1777
"BCL10",7005
"MRPS22",7043
"NEK9",3266
"CHCHD5",3795
"CAPN3",4033
"GLCE",6369
"LINC01257",5546
"LINC00347",6515
"REV1",2186
"ABCA7",10580
"DCAF13",8440
"LPAR2",9196
"ATXN2",6543
"TRY2P",6841
"MTF1",4697
"ANKRD40",11815
"SLC25A23",9929
"FAM149A",8159
"ITM2B",8871
"PTGIS",9488
"SYCE1L",9721
"LOC101929089",9700
"NUDT16P1",5502
"THAP11",2075
"TFEB",5135
"PKMYT1",10978
"TMEM70",8419
"CAMK2D",7494
"SULT1C2P1",6271
"SLC6A2",6285
"FLJ34503",3766
"OVOL1",7743
"NELFE",11757
"PIANP",6351
"PIEZO2",6547
"LINC01075",2586
"VAMP7",6159
"MIR3150BHG",6338
"ABHD3",7415
"ZNF853",8610
"NAT10",3424
"PLP1",14370
"IFNL3",408
"LINC01970",6059
"RGPD1",4702
"CD55",2613
"OR8H3",2678
"NLRP8",3382
"MLST8",6682
"LINC02199",3881
"DIAPH2-AS1",8536
"MED7",8281
"MCEMP1",10537
"TOLLIP-AS1",1546
"KIF22",7106
"DCAKD",11775
"PTPRN",9928
"TRIM14",5706
"FCGRT",9350
"TFAP2E",2089
"FBXO45",2240
"SNORD115-24",22520
"MIR5586",1979
"GJB7",3724
"LINC00881",10157
"DEFA4",11297
"INIP",16014
"GHITM",6236
"LINC01241",2204
"MIR660",6472
"BRMS1",7905
"ZNF580",3848
"PLK1",6402
"TSTD2",3490
"SMPD2",2613
"TRERNA1",6598
"DNPEP",7280
"GVINP1",6916
"ARHGAP26-IT1",9876
"TBC1D10A",4858
"RNF25",5115
"THEMIS",6146
"OGDH",3599
"FGF20",7507
"LOC100507600",6009
"LINC01260",4209
"PDE2A",2075
"ADRM1",4408
"EMB",4115
"ZNF839",17616
"LILRA1",3835
"LOC101927420",7678
"PARP4",1033
"LCE5A",8139
"SLC5A4",6323
"MIA2",6516
"TOGARAM2",5317
"WHRN",5975
"RRS1-AS1",7270
"MIR362",7243
"RBMXL2",10862
"ZNF709",3345
"PI3",3888
"ARHGAP23",2715
"SOX5-AS1",5205
"TCF12",3793
"LAMA5-AS1",4981
"MMP2",2387
"SNORA26",6288
"MIRLET7F1",7352
"QDPR",4150
"SNORD96B",10600
"ZSWIM8-AS1",6547
"LOC101927472",15402
"TIMM13",4676
"CLDND1",1931
"RILPL2",2503
"ABCA5",3281
"MRPL54",2980
"SPATA31A1",5856
"LOC101928389",8468
"GALR2",10664
"KRTAP25-1",3550
"CXADR",3618
"GMFB",3645
"TUBD1",8367
"BMP2",7325
"LINC01470",6019
"C17orf100",4169
"PLEKHA3",5411
"AK2",8186
"LOC102724484",1569
"DPY19L2P4",3295
"LMO7DN-IT1",6626
"PGM2",5448
"CHST11",3857
"EIF4G3",6144
"MIR6858",1580
"LOC101927378",6777
"RPL28",8601
"USP17L13",6789
"GCSAM",3550
"H2AFX",2430
"C19orf67",9908
"LINC01783",27174
"MIR6079",9671
"ALKBH3",3388
"NSMCE4A",10275
"LINC01164",6897
"MIR6508",2357
"RPL10A",6908
"TAS1R2",6383
"NXPH3",6052
"TUSC1",5454
"USP17L6P",10215
"SIGLEC6",8658
"ARHGEF12",4518
"MIR1827",9189
"TMEM241",4065
"LCE2C",4486
"ST18",4030
"DCX",3462
"SUPT5H",1889
"MIR548AI",13294
"KIAA1671",22167
"CDHR2",3125
"C15orf61",5714
"PHKA1",2914
"TEAD1",6651
"OSR2",7974
"TNFRSF1A",9635
"GPC5-AS1",6508
"KLF1",9921
"NDUFC2",3916
"SUMF1",3295
"TRIM49",4038
"BDP1",7410
"UBE2V2",7019
"MIR7975",3371
"GRK1",9032
"LOC105372441",8921
"WDR13",4870
"APOH",10033
"ASMTL",6296
"LOC100507387",1930
"IGF2BP2-AS1",6646
"PELI2",3825
"NUP133",7535
"LINC00367",6956
"REG3A",6694
"STYX",10361
"STAG1",5136
"STRA8",5172
"DISC1-IT1",5990
"LOC100129935",2195
"APBB1IP",2783
"THBD",4678
"TIGD2",10938
"GIP",9255
"RAVER1",2507
"TOP2A",2069
"CECR3",3672
"ECE1",8197
"USP26",3880
"TNFAIP8",7416
"NFKB1",28202
"IPMK",3295
"CHIT1",7486
"C9orf40",2884
"PINCR",1940
"LINC01726",8899
"MIR23B",2690
"BCAM",6501
"TMED11P",3253
"LINC00970",6756
"PTBP3",14778
"ZNF19",10964
"JPH2",8158
"TEAD4",8900
"RIBC1",4629
"POLR3A",8583
"ELK3",4473
"JAK2",20253
"ZNF425",5738
"UPP2",4836
"SLC28A3",3589
"KATNBL1",12618
"FOPNL",6139
"LOC101927267",2016
"MIS18A",8117
"MIR4300",3878
"FLJ45513",6350
"CEMIP2",4005
"WBP1L",7094
"SHC3",8276
"SPINK4",10461
"C9orf3",8571
"CDHR3",4734
"MTIF2",7519
"YBEY",8254
"LOC105377623",12991
"ZNF560",6716
"FOSL2",7883
"LINC00111",2582
"ABCB6",9302
"PLEKHA7",1060
"GPR180",7636
"MYO3B",5527
"PARP10",4165
"MAP3K4",6494
"HPD",12135
"CRYBB2",2717
"MIR3196",3683
"TFAP2D",4341
"CASP17P",7534
"RACGAP1P",11113
"HDGFL3",4129
"SCARNA14",2695
"IFITM2",4545
"TBC1D3P5",13368
"IHH",3683
"AK7",4834
"EEPD1",1973
"SHANK1",4868
"NR0B2",4032
"KRT13",4803
"OSBP",6925
"PCDH9-AS4",3592
"MIR5692A2",4283
"LINC00113",4223
"PANX3",6415
"KRTAP3-1",3706
"NSRP1",1742
"MIR1270",6841
"SETDB1",2872
"CYB5D1",4080
"PIGX",5380
"IYD",13733
"BRI3",13519
"NANS",1946
"PHF10",6949
"LOC101928994",5624
"LINC02510",4294
"BROX",5045
"TANK",4774
"FAM199X",6084
"MYNN",10241
"ORAI1",7175
"SPDYE4",6224
"NACC2",2592
"PANK4",3376
"ZNF302",4981
"ZNF3",665
"LGALS3",3511
"NIFK-AS1",3185
"LINC00442",14675
"PCDHB4",6650
"OR9Q1",11607
"GPALPP1",4483
"MIR6730",6080
"LINC00544",6546
"ZNF444",9733
"NLK",5065
"CSF2RA",3242
"TP53I3",9534
"MGAT4C",11616
"CHRM1",1300
"LINC01177",6957
"RNF157",1399
"OPALIN",2891
"SLC35B1",17040
"NLRP9",1477
"PWWP2A",8705
"PAOX",4065
"PTPRC",1116
"RALYL",5407
"ANO3",2584
"LOC100506885",9097
"M1AP",4542
"BBIP1",6388
"TAS2R16",13302
"LOC105372440",5605
"PDGFD",4936
"RPL7",8736
"AGBL3",10337
"FAM153B",4177
"THOC7",366
"MAEL",5769
"OR51F1",6048
"TSPAN3",8995
"STT3B",3440
"ZKSCAN1",9995
"TXNRD1",14831
"CD3D",4548
"CALHM2",3011
"SNAP91",12172
"DGAT2",8077
"FILIP1L",10554
"LOC100506388",12575
"SDC3",10049
"MMP13",2778
"SV2A",3067
"LIFR-AS1",5605
"OR4F17",3496
"ALMS1P1",8728
"LOC101928335",7357
"MIR548AB",5969
"AMMECR1",4106
"LOC100506691",3448
"PRAG1",3402
"MIR6796",5867
"BBOX1",4803
"MIA3",9529
"CAND2",4455
"ALS2",6276
"LRRC56",7298
"EPHX3",3098
"MIR147A",2994
"LINC01537",4752
"LOC102723729",3322
"ARHGAP35",2375
"CKS1B",6905
"MIR6768",7396
"RNF138",3411
"FNDC4",6150
"MIR194-2HG",11278
"PDXDC2P-NPIPB14P",3598
"HLA-F",8100
"ANKRD37",5358
"MIR3920",6180
"HPS1",6983
"CR1L",9493
"COX11",3962
"UBE2E2",2990
"PGBD4",11961
"PHLDA3",9630
"CCDC18",5791
"AIFM1",7827
"RFC1",16418
"KRT26",1839
"ART5",10759
"KCNH5",8243
"ZSCAN4",5214
"ST3GAL1",6502
"CHM",9130
"CYGB",7944
"FTL",9559
"KCNG2",3560
"BLM",4884
"OR1L6",6080
"LINC01831",4588
"NDOR1",9201
"HLA-L",7845
"TIMP3",264
"KLKB1",6024
"MTERF3",2567
"TAS2R4",5098
"NARS2",6072
"HOMER3",8236
"AKTIP",5176
"KCNA2",6864
"PIGS",6476
"MIR8054",8781
"TYK2",5518
"GGNBP1",6144
"MIR3200",8487
"ITPRIPL2",1265
"RPS28",10626
"TNFRSF21",15706
"MIR379",8502
"LINC01301",8517
"CNNM1",5774
"SNORA2C",8487
"EGR3",5250
"SNORA3B",17910
"SNX14",5725
"VSTM4",6457
"ZNF562",7887
"TSNAXIP1",8030
"ZNF805",5839
"PACSIN1",11297
"FUZ",3486
"SNORD115-42",8743
"LSM5",4841
"CCDC80",10484
"DHX16",1115
"LINC02280",6154
"ZNF830",3936
"UBOX5-AS1",17127
"ALOX12P2",11950
"MIR4420",8502
"MIR4432HG",6651
"FBXW10",8806
"LINC01925",5518
"TTC28-AS1",4865
"FUK",9083
"CRABP1",5577
"NDUFA6-DT",7421
"MXI1",5823
"IDH3A",7148
"MIR4284",6386
"OR2F2",8060
"SNORD116-10",5512
"FAM230D",7700
"MIR3939",3005
"GNS",14371
"PRR3",3519
"DUOX2",3459
"F8A1",7741
"YRDC",2773
"ASPH",4902
"TFRC",6872
"RIPPLY3",3102
"KRTAP2-3",2363
"NFKB2",7454
"CKMT2-AS1",12325
"PRKCE",7909
"SMNDC1",7886
"MMP11",6789
"C6orf15",5463
"LINC02345",8383
"ZNF486",11022
"SOHLH2",1388
"HELQ",5905
"ALKBH3-AS1",12091
"BRSK1",4770
"DPH3",7837
"KLHL7",8510
"ALKBH4",5151
"RARRES3",3750
"LRRC29",2456
"MYH14",5269
"ATL1",4735
"C8orf87",12623
"POLR1A",9151
"NAV2",2614
"MIR8083",848
"SAMD3",18452
"BNIP1",5833
"INCENP",5005
"TAAR5",7341
"GABRQ",11052
"FOXD4L4",1097
"MIR299",9394
"F11-AS1",4592
"GABRE",9198
"FAM170B-AS1",2980
"MBNL3",7016
"PDS5A",5348
"MIR1302-6",2006
"PCIF1",3839
"PLEKHG4",14718
"ADGRB3",6893
"SLC25A53",7313
"MRPL33",10102
"COPZ2",4166
"ALKBH8",3379
"TMEM89",7008
"S100A2",10211
"ZNF236-DT",9084
"LOC389199",11951
"ARGFXP2",4961
"FAM21EP",6767
"WASH8P",7097
"TMX4",8474
"TTC9C",15878
"CNBP",2042
"ZNF696",3958
"SCARNA2",12476
"DPH1",1678
"CYP1B1-AS1",4979
"MIR2392",6973
"LOC101929340",7817
"FAF1",3472
"DTD2",6557
"SCIN",12775
"PRIMPOL",2871
"TMPRSS11B",3813
"DDA1",2755
"PSG11",4237
"OR7E47P",9596
"FATE1",3492
"TRIM62",9371
"ADRA2A",4242
"LINC00506",6268
"LRRC59",3578
"ADAMTS5",5584
"GDPD4",4885
"UBE2Q2L",12806
"BLVRA",2112
"CDKL1",12474
"OR2AP1",5081
"DCAF4L2",5208
"PIGB",12673
"HPCA",3233
"SLC6A9",16044
"CNTN6",3428
"SSSCA1",13190
"TMEM72",8891
"SART3",8896
"COL4A2",13270
"CCDC8",7157
"ZNF792",1311
"LINC00158",3380
"FLRT3",18152
"CREBL2",12985
"TSPAN2",3692
"CFAP161",3256
"POLR2B",6281
"DEPP1",12859
"GALNT15",4442
"PIGA",9775
"COL6A4P2",11001
"LOC101927575",2717
"EPHA5-AS1",8409
"VPS26A",7938
"TRIM77",7271
"POLD4",7743
"PGM1",1598
"TBP",6243
"MIR4652",4442
"ICMT",4978
"UCP3",2848
"ICAM1",4118
"MIR1290",3699
"TMEM265",7885
"LINC01676",8805
"PPP3CB",10918
"C16orf92",5981
"PVRIG2P",3532
"SCN11A",2567
"MIR1288",2517
"DKFZp779M0652",4254
"ARC",4798
"AMELX",7838
"CPEB1",13781
"ZNF500",5472
"LINC00443",7350
"KCNMA1-AS3",8197
"ZNF197-AS1",14505
"ZNF436-AS1",4596
"CASC2",11023
"SPHK1",4488
"NME5",2950
"TUBB4A",5156
"CPOX",7422
"RFX1",4960
"TAS1R1",12199
"LOC105370622",4845
"SMG1P3",5755
"ZNF793-AS1",4673
"MYL9",8636
"MIR6134",6036
"FAM86EP",5145
"ZNF354A",1141
"NRL",9771
"FAM187B",7035
